Date,TomatoPiceHUF
2018-01-01,825
2018-02-01,773
2018-03-01,795
2018-04-01,773
2018-05-01,716
2018-06-01,529
2018-07-01,405
2018-08-01,371
2018-09-01,436
2018-10-01,631
2018-11-01,626
2018-12-01,687
2019-01-01,808
2019-02-01,853
2019-03-01,855
2019-04-01,853
2019-05-01,679
2019-06-01,513
2019-07-01,499
2019-08-01,608
2019-09-01,511
2019-10-01,541
2019-11-01,629
2019-12-01,666
2020-01-01,845
2020-02-01,931
2020-03-01,975
2020-04-01,978
2020-05-01,830
2020-06-01,597
2020-07-01,459
2020-08-01,479
2020-09-01,467
2020-10-01,562
2020-11-01,663
2020-12-01,729
2021-01-01,874
2021-02-01,877
2021-03-01,894
2021-04-01,959
2021-05-01,777
2021-06-01,627
2021-07-01,584
2021-08-01,523
2021-09-01,614
2021-10-01,637
2021-11-01,717
2021-12-01,763
2022-01-01,951
2022-02-01,1090
2022-03-01,1270
2022-04-01,1390
2022-05-01,1070
2022-06-01,889
2022-07-01,748
2022-08-01,686
2022-09-01,696
